u_id,fname,lname,email,phone,password
33979,Varun,Sriram,varunsriram@gmail.com,99880883823,12345678
17946,Parveez,Sharif,parveezsharif@gmail.com,9894379234,12345678
57978,Sraman,Choudhary,sramansuperman@gmail.com,8979846515,12345678
63566,Vishal,Naidu,slipfold9@gmail.com,51654894894,12345678
36395,Mukund,Sood,kerala@gmail.com,8918951515,12345678
97896,Bishesh,Sinha,bishking@gmail.com,61987771122,12345678
52087,Varun,Vora,thisiskeptforspam@gmail.com,9036228285,12345678
59134,Vivek,Kapoor,banaras@gmail.com,9580715927,12345678
42868,Yash,Mathur,bmw@gmail.com,984984894653,12345678
85535,Vinay,GB,manyids@gmail.com,4204204520,12345678
79382,Vinayak,Awanti,gulbarga@gmail.com,879846545466,12345678
19410,Rahul,Unni,ping@gmail.com,64364464643,12345678
54236,abc,abc,xyz@gmail.com,198981981552,12345678
